"trip_id","duration","start_time","end_time","start_station","start_lat","start_lon","end_station","end_lat","end_lon","bike_id","plan_duration","trip_route_category","passholder_type"
223927759,15,"2018-01-01 16:25:00","2018-01-01 16:40:00",3030,39.939350,-75.157158,3045,39.947922,-75.162369,11818,30,"One Way","Indego30"
223931531,55,"2018-01-01 16:35:00","2018-01-01 17:30:00",3053,39.932308,-75.181541,3053,39.932308,-75.181541,"03480",30,"Round Trip","Indego30"
223927757,15,"2018-01-01 16:40:00","2018-01-01 16:55:00",3066,39.945610,-75.173477,3064,39.938400,-75.173271,"03521",30,"One Way","Indego30"
223927756,14,"2018-01-01 16:41:00","2018-01-01 16:55:00",3066,39.945610,-75.173477,3064,39.938400,-75.173271,"03450",30,"One Way","Indego30"
223931528,25,"2018-01-01 16:45:00","2018-01-01 17:10:00",3063,39.946331,-75.169800,3063,39.946331,-75.169800,"03623",30,"Round Trip","Indego30"
223927754,10,"2018-01-01 16:48:00","2018-01-01 16:58:00",3008,39.980782,-75.150551,3056,39.976688,-75.158127,"03591",30,"One Way","Indego30"
223927753,3,"2018-01-01 16:51:00","2018-01-01 16:54:00",3028,39.940609,-75.149582,3099,39.934010,-75.150940,"05375",30,"One Way","Indego30"
223931524,6,"2018-01-01 16:55:00","2018-01-01 17:01:00",3026,39.941380,-75.145638,3069,39.937038,-75.150383,"05243",30,"One Way","Indego30"
223931522,6,"2018-01-01 16:56:00","2018-01-01 17:02:00",3026,39.941380,-75.145638,3069,39.937038,-75.150383,"05328",0,"One Way","Walk-up"
223931523,5,"2018-01-01 16:56:00","2018-01-01 17:01:00",3026,39.941380,-75.145638,3069,39.937038,-75.150383,"02700",30,"One Way","Indego30"
223931521,9,"2018-01-01 16:57:00","2018-01-01 17:06:00",3102,39.967590,-75.179520,3161,39.954861,-75.180908,"02513",30,"One Way","Indego30"
223931520,7,"2018-01-01 16:58:00","2018-01-01 17:05:00",3030,39.939350,-75.157158,3045,39.947922,-75.162369,"03719",30,"One Way","Indego30"
223931519,10,"2018-01-01 17:04:00","2018-01-01 17:14:00",3120,39.975220,-75.186691,3058,39.967159,-75.170013,"03430",30,"One Way","Indego30"
223931518,19,"2018-01-01 17:05:00","2018-01-01 17:24:00",3050,39.953388,-75.154259,3101,39.942951,-75.159554,"02561",30,"One Way","Indego30"
223931517,17,"2018-01-01 17:06:00","2018-01-01 17:23:00",3086,39.940189,-75.166908,3023,39.950481,-75.172859,11795,0,"One Way","Walk-up"
223931515,15,"2018-01-01 17:07:00","2018-01-01 17:22:00",3054,39.962502,-75.174202,3074,39.955109,-75.209869,"05193",30,"One Way","Indego30"
223931516,16,"2018-01-01 17:07:00","2018-01-01 17:23:00",3086,39.940189,-75.166908,3023,39.950481,-75.172859,"03543",0,"One Way","Walk-up"
223931513,6,"2018-01-01 17:20:00","2018-01-01 17:26:00",3024,39.948219,-75.209084,3074,39.955109,-75.209869,"02565",30,"One Way","Indego30"
223931514,7,"2018-01-01 17:20:00","2018-01-01 17:27:00",3058,39.967159,-75.170013,3121,39.972740,-75.179390,"03430",30,"One Way","Indego30"
223931512,18,"2018-01-01 17:28:00","2018-01-01 17:46:00",3108,39.953159,-75.165512,3099,39.934010,-75.150940,"03694",365,"One Way","IndegoFlex"
