trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
365199132,20,1/1/2021 11:44,1/1/2021 12:04,3068,39.93549,-75.167107,3204,39.964371,-75.165817,11706,30,One Way,Indego30,standard
365199235,22,1/1/2021 11:46,1/1/2021 12:08,3160,39.956619,-75.198624,3207,39.954411,-75.192001,3679,30,One Way,Indego30,standard
365198828,6,1/1/2021 11:47,1/1/2021 11:53,3125,39.943909,-75.167351,3052,39.947319,-75.156952,3541,30,One Way,Indego30,standard
365199955,11,1/1/2021 11:48,1/1/2021 11:59,3037,39.954239,-75.161377,3000,,,3691,365,One Way,Indego365,standard
365199130,15,1/1/2021 11:48,1/1/2021 12:03,3066,39.94561,-75.173477,3169,39.953819,-75.142632,19638,30,One Way,Indego30,electric
365199232,21,1/1/2021 11:48,1/1/2021 12:09,3158,39.925522,-75.169037,3068,39.93549,-75.167107,14586,30,One Way,Indego30,standard
365198827,4,1/1/2021 11:48,1/1/2021 11:52,3035,39.962711,-75.194191,3009,39.955761,-75.189819,18748,30,One Way,Indego30,electric
365199230,17,1/1/2021 11:50,1/1/2021 12:07,3022,39.95472,-75.183228,3104,39.96664,-75.192093,3637,30,One Way,Indego30,standard
365199640,34,1/1/2021 11:53,1/1/2021 12:27,3120,39.97522,-75.186691,3050,39.953388,-75.154259,16435,30,One Way,Indego30,electric
365199639,32,1/1/2021 11:54,1/1/2021 12:26,3012,39.942181,-75.177467,3012,39.942181,-75.177467,5257,365,Round Trip,Indego365,standard
365199128,6,1/1/2021 11:58,1/1/2021 12:04,3078,39.953548,-75.171921,3204,39.964371,-75.165817,5219,30,One Way,Indego30,standard
365199739,32,1/1/2021 11:58,1/1/2021 12:30,3072,39.934448,-75.145409,3072,39.934448,-75.145409,19794,30,Round Trip,Indego30,electric
365199431,17,1/1/2021 11:58,1/1/2021 12:15,3051,39.967442,-75.175072,3107,39.982029,-75.18866,17776,30,One Way,Indego30,electric
365199228,6,1/1/2021 11:59,1/1/2021 12:05,3108,39.953159,-75.165512,3018,39.952728,-75.15979,5305,365,One Way,Indego365,standard
365199842,36,1/1/2021 12:00,1/1/2021 12:36,3197,39.92083,-75.170326,3072,39.934448,-75.145409,14628,30,One Way,Indego30,standard
365200258,58,1/1/2021 12:00,1/1/2021 12:58,3043,39.93082,-75.174744,3153,39.97216,-75.129936,11745,30,One Way,Indego30,standard
365199328,6,1/1/2021 12:07,1/1/2021 12:13,3010,39.947109,-75.166183,3163,39.949741,-75.180969,11837,30,One Way,Indego30,standard
365199532,15,1/1/2021 12:07,1/1/2021 12:22,3104,39.96664,-75.192093,3118,39.95866,-75.213226,3637,30,One Way,Indego30,standard
365200561,55,1/1/2021 12:07,1/1/2021 13:02,3032,39.945271,-75.17971,3032,39.945271,-75.17971,14554,365,Round Trip,Indego365,standard
365200254,46,1/1/2021 12:09,1/1/2021 12:55,3207,39.954411,-75.192001,3011,39.959671,-75.196487,3679,30,One Way,Indego30,standard
